Team Name,Year,Wins,Losses,OT Losses,Win %,Goal For (GF),Goal Against (GA),+ / -
Boston Bruins,1990,44,24,,35,299,264,35
Buffalo Sabres,1990,31,30,,14,292,278,14
Calgary Flames,1990,46,26,,81,344,263,81
Chicago Blackhawks,1990,49,23,,73,284,211,73
Detroit Red Wings,1990,34,38,,-25,273,298,-25
Edmonton Oilers,1990,37,37,,0,272,272,0
Hartford Whalers,1990,31,38,,-38,238,276,-38
Los Angeles Kings,1990,46,24,,86,340,254,86
Minnesota North Stars,1990,27,39,,-10,256,266,-10
Montreal Canadiens,1990,39,30,,24,273,249,24
New Jersey Devils,1990,32,33,,8,272,264,8
New York Islanders,1990,25,45,,-67,223,290,-67
New York Rangers,1990,36,31,,32,297,265,32
Philadelphia Flyers,1990,33,37,,-15,252,267,-15
Pittsburgh Penguins,1990,41,33,,37,342,305,37
Quebec Nordiques,1990,16,50,,-118,236,354,-118
St. Louis Blues,1990,47,22,,60,310,250,60
Toronto Maple Leafs,1990,23,46,,-77,241,318,-77
Vancouver Canucks,1990,28,43,,-72,243,315,-72
Washington Capitals,1990,37,36,,0,258,258,0
Winnipeg Jets,1990,26,43,,-28,260,288,-28
Boston Bruins,1991,36,32,,-5,270,275,-5
Buffalo Sabres,1991,31,37,,-10,289,299,-10
Calgary Flames,1991,31,37,,-9,296,305,-9
Chicago Blackhawks,1991,36,29,,21,257,236,21
Detroit Red Wings,1991,43,25,,64,320,256,64
Edmonton Oilers,1991,36,34,,-2,295,297,-2
Hartford Whalers,1991,26,41,,-36,247,283,-36
Los Angeles Kings,1991,35,31,,-9,287,296,-9
Minnesota North Stars,1991,32,42,,-32,246,278,-32
Montreal Canadiens,1991,41,28,,60,267,207,60
New Jersey Devils,1991,38,31,,30,289,259,30
New York Islanders,1991,34,35,,-8,291,299,-8
New York Rangers,1991,50,25,,75,321,246,75
Philadelphia Flyers,1991,32,37,,-21,252,273,-21
Pittsburgh Penguins,1991,39,32,,35,343,308,35
Quebec Nordiques,1991,20,48,,-63,255,318,-63
San Jose Sharks,1991,17,58,,-140,219,359,-140
St. Louis Blues,1991,36,33,,13,279,266,13
Toronto Maple Leafs,1991,30,43,,-60,234,294,-60
Vancouver Canucks,1991,42,26,,35,285,250,35
Washington Capitals,1991,45,27,,55,330,275,55
Winnipeg Jets,1991,33,32,,7,251,244,7
Boston Bruins,1992,51,26,,64,332,268,64
Buffalo Sabres,1992,38,36,,38,335,297,38
Calgary Flames,1992,43,30,,40,322,282,40
Chicago Blackhawks,1992,47,25,,49,279,230,49
Detroit Red Wings,1992,47,28,,89,369,280,89
Edmonton Oilers,1992,26,50,,-95,242,337,-95
Hartford Whalers,1992,26,52,,-85,284,369,-85
Los Angeles Kings,1992,39,35,,-2,338,340,-2
Minnesota North Stars,1992,36,38,,-21,272,293,-21
Montreal Canadiens,1992,48,30,,46,326,280,46
New Jersey Devils,1992,40,37,,9,308,299,9
New York Islanders,1992,40,37,,38,335,297,38
New York Rangers,1992,34,39,,-4,304,308,-4
Ottawa Senators,1992,10,70,,-193,202,395,-193
Philadelphia Flyers,1992,36,37,,0,319,319,0
Pittsburgh Penguins,1992,56,21,,99,367,268,99
Quebec Nordiques,1992,47,27,,51,351,300,51
San Jose Sharks,1992,11,71,,-196,218,414,-196
St. Louis Blues,1992,37,36,,4,282,278,4
Tampa Bay Lightning,1992,23,54,,-87,245,332,-87
Toronto Maple Leafs,1992,44,29,,47,288,241,47
Vancouver Canucks,1992,46,29,,68,346,278,68
Washington Capitals,1992,43,34,,39,325,286,39
Winnipeg Jets,1992,40,37,,2,322,320,2
Mighty Ducks of Anaheim,1993,33,46,,-22,229,251,-22
Boston Bruins,1993,42,29,,37,289,252,37
Buffalo Sabres,1993,43,32,,64,282,218,64
Calgary Flames,1993,42,29,,46,302,256,46
Chicago Blackhawks,1993,39,36,,14,254,240,14
Dallas Stars,1993,42,29,,21,286,265,21
Detroit Red Wings,1993,46,30,,81,356,275,81
Edmonton Oilers,1993,25,45,,-44,261,305,-44
Florida Panthers,1993,33,34,,0,233,233,0
Hartford Whalers,1993,27,48,,-61,227,288,-61
Los Angeles Kings,1993,27,45,,-28,294,322,-28
Montreal Canadiens,1993,41,29,,35,283,248,35
New Jersey Devils,1993,47,25,,86,306,220,86
New York Islanders,1993,36,36,,18,282,264,18
New York Rangers,1993,52,24,,68,299,231,68
Ottawa Senators,1993,14,61,,-196,201,397,-196
Philadelphia Flyers,1993,35,39,,-20,294,314,-20
Pittsburgh Penguins,1993,44,27,,14,299,285,14
Quebec Nordiques,1993,34,42,,-15,277,292,-15
San Jose Sharks,1993,33,35,,-13,252,265,-13
St. Louis Blues,1993,40,33,,-13,270,283,-13
Tampa Bay Lightning,1993,30,43,,-27,224,251,-27
Toronto Maple Leafs,1993,43,29,,37,280,243,37
Vancouver Canucks,1993,41,40,,3,279,276,3
Washington Capitals,1993,39,35,,14,277,263,14
Winnipeg Jets,1993,24,51,,-99,245,344,-99
Mighty Ducks of Anaheim,1994,16,27,,-39,125,164,-39
Boston Bruins,1994,27,18,,23,150,127,23
Buffalo Sabres,1994,22,19,,11,130,119,11
Calgary Flames,1994,24,17,,28,163,135,28
Chicago Blackhawks,1994,24,19,,41,156,115,41
Dallas Stars,1994,17,23,,1,136,135,1
Detroit Red Wings,1994,33,11,,63,180,117,63
Edmonton Oilers,1994,17,27,,35,136,183,-47
Florida Panthers,1994,20,22,,14,115,127,-12
Hartford Whalers,1994,19,24,,81,127,141,-14
Los Angeles Kings,1994,16,23,,73,142,174,-32
Montreal Canadiens,1994,18,23,,-25,125,148,-23
New Jersey Devils,1994,22,18,,0,136,121,15
New York Islanders,1994,15,28,,-38,126,158,-32
New York Rangers,1994,22,23,,86,139,134,5
Ottawa Senators,1994,9,34,,-10,117,174,-57
Philadelphia Flyers,1994,28,16,,24,150,132,18
Pittsburgh Penguins,1994,29,16,,8,181,158,23
Quebec Nordiques,1994,30,13,,-67,185,134,51
San Jose Sharks,1994,19,25,,32,129,161,-32
St. Louis Blues,1994,28,15,,-15,178,135,43
Tampa Bay Lightning,1994,17,28,,37,120,144,-24
Toronto Maple Leafs,1994,21,19,,-118,135,146,-11
Vancouver Canucks,1994,18,18,,60,153,148,5
Washington Capitals,1994,22,18,,-77,136,120,16
Winnipeg Jets,1994,16,25,,-72,157,177,-20
Mighty Ducks of Anaheim,1995,35,39,,0,234,247,-13
Boston Bruins,1995,40,31,,-28,282,269,13
Buffalo Sabres,1995,33,42,,-5,247,262,-15
Calgary Flames,1995,34,37,,-10,241,240,1
Chicago Blackhawks,1995,40,28,,-9,273,220,53
Colorado Avalanche,1995,47,25,,21,326,240,86
Dallas Stars,1995,26,42,,64,227,280,-53
Detroit Red Wings,1995,62,13,,-2,325,181,144
Edmonton Oilers,1995,30,44,,-36,240,304,-64
Florida Panthers,1995,41,31,,-9,254,234,20
Hartford Whalers,1995,34,39,,-32,237,259,-22
Los Angeles Kings,1995,24,40,,60,256,302,-46
Montreal Canadiens,1995,40,32,,30,265,248,17
New Jersey Devils,1995,37,33,,-8,215,202,13
New York Islanders,1995,22,50,,75,229,315,-86
New York Rangers,1995,41,27,,-21,272,237,35
Ottawa Senators,1995,18,59,,35,191,291,-100
Philadelphia Flyers,1995,45,24,,-63,282,208,74
Pittsburgh Penguins,1995,49,29,,-140,362,284,78
San Jose Sharks,1995,20,55,,13,252,357,-105
St. Louis Blues,1995,32,34,,-60,219,248,-29
Tampa Bay Lightning,1995,38,32,,35,238,248,-10
Toronto Maple Leafs,1995,34,36,,55,247,252,-5
Vancouver Canucks,1995,32,35,,7,278,278,0
Washington Capitals,1995,39,32,,64,234,204,30
Winnipeg Jets,1995,36,40,,38,275,291,-16
Mighty Ducks of Anaheim,1996,36,33,,40,245,233,12
Boston Bruins,1996,26,47,,49,234,300,-66
Buffalo Sabres,1996,40,30,,89,237,208,29
Calgary Flames,1996,32,41,,-95,214,239,-25
Chicago Blackhawks,1996,34,35,,-85,223,210,13
Colorado Avalanche,1996,49,24,,-2,277,205,72
Dallas Stars,1996,48,26,,-21,252,198,54
Detroit Red Wings,1996,38,26,,46,253,197,56
Edmonton Oilers,1996,36,37,,9,252,247,5
Florida Panthers,1996,35,28,,38,221,201,20
Hartford Whalers,1996,32,39,,-4,226,256,-30
Los Angeles Kings,1996,28,43,,-193,214,268,-54
Montreal Canadiens,1996,31,36,,0,249,276,-27
New Jersey Devils,1996,45,23,,99,231,182,49
New York Islanders,1996,29,41,,51,240,250,-10
New York Rangers,1996,38,34,,-196,258,231,27
Ottawa Senators,1996,31,36,,4,226,234,-8
Philadelphia Flyers,1996,45,24,,-87,274,217,57
Phoenix Coyotes,1996,38,37,,47,240,243,-3
Pittsburgh Penguins,1996,38,36,,68,285,280,5
San Jose Sharks,1996,27,47,,39,211,278,-67
St. Louis Blues,1996,36,35,,2,236,239,-3
Tampa Bay Lightning,1996,32,40,,-22,217,247,-30
Toronto Maple Leafs,1996,30,44,,37,230,273,-43
Vancouver Canucks,1996,35,40,,64,257,273,-16
Washington Capitals,1996,33,40,,46,214,231,-17
Mighty Ducks of Anaheim,1997,26,43,,14,205,261,-56
Boston Bruins,1997,39,30,,21,221,194,27
Buffalo Sabres,1997,36,29,,81,211,187,24
Calgary Flames,1997,26,41,,-44,217,252,-35
Carolina Hurricanes,1997,33,41,,0,200,219,-19
Chicago Blackhawks,1997,30,39,,-61,192,199,-7
Colorado Avalanche,1997,39,26,,-28,231,205,26
Dallas Stars,1997,49,22,,35,242,167,75
Detroit Red Wings,1997,44,23,,86,250,196,54
Edmonton Oilers,1997,35,37,,18,215,224,-9
Florida Panthers,1997,24,43,,68,203,256,-53
Los Angeles Kings,1997,38,33,,-196,227,225,2
Montreal Canadiens,1997,37,32,,-20,235,208,27
New Jersey Devils,1997,48,23,,14,225,166,59
New York Islanders,1997,30,41,,-15,212,225,-13
New York Rangers,1997,25,39,,-13,197,231,-34
Ottawa Senators,1997,34,33,,-13,193,200,-7
Philadelphia Flyers,1997,42,29,,-27,242,193,49
Phoenix Coyotes,1997,35,35,,37,224,227,-3
Pittsburgh Penguins,1997,40,24,,3,228,188,40
San Jose Sharks,1997,34,38,,14,210,216,-6
St. Louis Blues,1997,45,29,,-99,256,204,52
Tampa Bay Lightning,1997,17,55,,-39,151,269,-118
Toronto Maple Leafs,1997,30,43,,23,194,237,-43
Vancouver Canucks,1997,25,43,,11,224,273,-49
Washington Capitals,1997,40,30,,28,219,202,17
Mighty Ducks of Anaheim,1998,35,34,,41,215,206,9
Boston Bruins,1998,39,30,,1,214,181,33
Buffalo Sabres,1998,37,28,,63,207,175,32
Calgary Flames,1998,30,40,,-23,211,234,-23
Carolina Hurricanes,1998,34,30,,8,210,202,8
Chicago Blackhawks,1998,29,41,,-46,202,248,-46
Colorado Avalanche,1998,44,28,,34,239,205,34
Dallas Stars,1998,51,19,,68,236,168,68
Detroit Red Wings,1998,43,32,,43,245,202,43
Edmonton Oilers,1998,33,37,,4,230,226,4
Florida Panthers,1998,30,34,,-18,210,228,-18
Los Angeles Kings,1998,32,45,,-33,189,222,-33
Montreal Canadiens,1998,32,39,,-25,184,209,-25
Nashville Predators,1998,28,47,,-71,190,261,-71
New Jersey Devils,1998,47,24,,52,248,196,52
New York Islanders,1998,24,48,,-50,194,244,-50
New York Rangers,1998,33,38,,-10,217,227,-10
Ottawa Senators,1998,44,23,,60,239,179,60
Philadelphia Flyers,1998,37,26,,35,231,196,35
Phoenix Coyotes,1998,39,31,,8,205,197,8
Pittsburgh Penguins,1998,38,30,,17,242,225,17
San Jose Sharks,1998,31,33,,5,196,191,5
St. Louis Blues,1998,37,32,,28,237,209,28
Tampa Bay Lightning,1998,19,54,,-113,179,292,-113
Toronto Maple Leafs,1998,45,30,,37,268,231,37
Vancouver Canucks,1998,23,47,,-66,192,258,-66
Washington Capitals,1998,31,45,,-18,200,218,-18
Mighty Ducks of Anaheim,1999,34,33,3,-10,217,227,-10
Atlanta Thrashers,1999,14,57,4,-143,170,313,-143
Boston Bruins,1999,24,33,6,-38,210,248,-38
Buffalo Sabres,1999,35,32,4,9,213,204,9
Calgary Flames,1999,31,36,5,-45,211,256,-45
Carolina Hurricanes,1999,37,35,0,1,217,216,1
Chicago Blackhawks,1999,33,37,2,-3,242,245,-3
Colorado Avalanche,1999,42,28,1,32,233,201,32
Dallas Stars,1999,43,23,6,27,211,184,27
Detroit Red Wings,1999,48,22,2,68,278,210,68
Edmonton Oilers,1999,32,26,8,14,226,212,14
Florida Panthers,1999,43,27,6,35,244,209,35
Los Angeles Kings,1999,39,27,4,17,245,228,17
Montreal Canadiens,1999,35,34,4,2,196,194,2
Nashville Predators,1999,28,40,7,-41,199,240,-41
New Jersey Devils,1999,45,24,5,48,251,203,48
New York Islanders,1999,24,48,1,-81,194,275,-81
New York Rangers,1999,29,38,3,-28,218,246,-28
Ottawa Senators,1999,41,28,2,34,244,210,34
Philadelphia Flyers,1999,45,22,3,58,237,179,58
Phoenix Coyotes,1999,39,31,4,4,232,228,4
Pittsburgh Penguins,1999,37,31,6,5,241,236,5
San Jose Sharks,1999,35,30,7,11,225,214,11
St. Louis Blues,1999,51,19,1,83,248,165,83
Tampa Bay Lightning,1999,19,47,7,-106,204,310,-106
Toronto Maple Leafs,1999,45,27,3,24,246,222,24
Vancouver Canucks,1999,30,29,8,-10,227,237,-10
Washington Capitals,1999,44,24,2,33,227,194,33
Mighty Ducks of Anaheim,2000,25,41,5,-57,188,245,-57
Atlanta Thrashers,2000,23,45,2,-78,211,289,-78
Boston Bruins,2000,36,30,8,-22,227,249,-22
Buffalo Sabres,2000,46,30,1,34,218,184,34
Calgary Flames,2000,27,36,4,-39,197,236,-39
Carolina Hurricanes,2000,38,32,3,-13,212,225,-13
Columbus Blue Jackets,2000,28,39,6,-43,190,233,-43
Chicago Blackhawks,2000,29,40,5,-36,210,246,-36
Colorado Avalanche,2000,52,16,4,78,270,192,78
Dallas Stars,2000,48,24,2,54,241,187,54
Detroit Red Wings,2000,49,20,4,51,253,202,51
Edmonton Oilers,2000,39,28,3,21,243,222,21
Florida Panthers,2000,22,38,9,-46,200,246,-46
Los Angeles Kings,2000,38,28,3,24,252,228,24
Minnesota Wild,2000,25,39,5,-42,168,210,-42
Montreal Canadiens,2000,28,40,6,-26,206,232,-26
Nashville Predators,2000,34,36,3,-14,186,200,-14
New Jersey Devils,2000,48,19,3,100,295,195,100
New York Islanders,2000,21,51,3,-83,185,268,-83
New York Rangers,2000,33,43,1,-40,250,290,-40
Ottawa Senators,2000,48,21,4,69,274,205,69
Philadelphia Flyers,2000,43,25,3,33,240,207,33
Phoenix Coyotes,2000,35,27,3,2,214,212,2
Pittsburgh Penguins,2000,42,28,3,25,281,256,25
San Jose Sharks,2000,40,27,3,25,217,192,25
St. Louis Blues,2000,43,22,5,54,249,195,54
Tampa Bay Lightning,2000,24,47,5,-79,201,280,-79
Toronto Maple Leafs,2000,37,29,5,25,232,207,25
Vancouver Canucks,2000,36,28,7,1,239,238,1
Washington Capitals,2000,41,27,4,22,233,211,22
Mighty Ducks of Anaheim,2001,29,42,3,-23,175,198,-23
Atlanta Thrashers,2001,19,47,5,-101,187,288,-101
Boston Bruins,2001,43,24,9,35,236,201,35
Buffalo Sabres,2001,35,35,1,13,213,200,13
Calgary Flames,2001,32,35,3,-19,201,220,-19
Carolina Hurricanes,2001,35,26,5,0,217,217,0
Columbus Blue Jackets,2001,22,47,5,-91,164,255,-91
Chicago Blackhawks,2001,41,27,1,9,216,207,9
Colorado Avalanche,2001,45,28,1,43,212,169,43
Dallas Stars,2001,36,28,5,2,215,213,2
Detroit Red Wings,2001,51,17,4,64,251,187,64
